Date,Temp,Salt,Density,Species
2018-07-31,26.7,30.5,700.0,Cochlodinium polykrikoides
2018-08-01,27.9,30.9,1000.0,Cochlodinium polykrikoides
2018-08-02,29.9,32.4,1200.0,Cochlodinium polykrikoides
2018-08-03,29.0,31.75,1000.0,Cochlodinium polykrikoides
2018-08-04,29.6,31.8,700.0,Cochlodinium polykrikoides
2018-08-05,27.5,31.75,500.0,Cochlodinium polykrikoides
2018-08-06,29.5,30.0,350.0,Cochlodinium polykrikoides
2018-08-07,29.8,31.0,350.0,Cochlodinium polykrikoides
2019-09-03,23.2,31.55,800.0,Cochlodinium polykrikoides
2019-09-04,23.9,32.0,20.0,Cochlodinium polykrikoides
2019-09-05,24.3,32.05,50.0,Cochlodinium polykrikoides
2019-09-08,24.0,30.9,1200.0,Cochlodinium polykrikoides
2019-09-09,24.6,31.2,4500.0,Cochlodinium polykrikoides
2019-09-09,23.3,33.349999999999994,1500.0,Cochlodinium polykrikoides
2019-09-10,24.5,30.65,6000.0,Cochlodinium polykrikoides
2019-09-11,25.0,31.15,3200.0,Cochlodinium polykrikoides
2019-09-12,25.9,31.15,3040.0,Cochlodinium polykrikoides
2019-09-12,23.0,33.0,1640.0,Cochlodinium polykrikoides
2019-09-13,22.0,33.099999999999994,1440.0,Cochlodinium polykrikoides
2019-09-13,23.4,32.150000000000006,6400.0,Cochlodinium polykrikoides
2019-09-14,24.7,32.3,7300.0,Cochlodinium polykrikoides
2019-09-15,23.0,32.5,5200.0,Cochlodinium polykrikoides
2019-09-16,24.5,31.549999999999997,4800.0,Cochlodinium polykrikoides
2019-09-17,23.5,31.0,5800.0,Cochlodinium polykrikoides
2019-09-18,23.5,32.45,1500.0,Cochlodinium polykrikoides
2019-09-19,23.5,31.700000000000003,700.0,Cochlodinium polykrikoides
2019-09-20,23.0,31.4,800.0,Cochlodinium polykrikoides
2020-10-13,21.8,31.15,56.0,Cochlodinium polykrikoides
2020-10-16,21.0,31.45,180.0,Cochlodinium polykrikoides
2020-10-23,20.7,32.5,40.0,Cochlodinium polykrikoides
2020-10-24,20.3,32.0,40.0,Cochlodinium polykrikoides
2020-10-26,20.0,32.2,50.0,Cochlodinium polykrikoides
2020-10-27,20.3,30.4,100.0,Cochlodinium polykrikoides
2020-10-28,19.7,29.15,80.0,Cochlodinium polykrikoides
2020-10-29,19.7,30.450000000000003,150.0,Cochlodinium polykrikoides
2020-10-30,19.7,31.25,90.0,Cochlodinium polykrikoides
2020-10-31,19.5,32.4,100.0,Cochlodinium polykrikoides
2022-08-31,22.7,32.1,270.0,Cochlodinium polykrikoides
2022-09-08,24.7,31.15,1.0,Cochlodinium polykrikoides
2022-09-09,24.4,31.4,0.0,Cochlodinium polykrikoides
2022-09-10,24.4,31.4,0.0,Cochlodinium polykrikoides
2022-09-12,23.3,31.7,0.0,Cochlodinium polykrikoides
2022-09-13,24.5,30.85,1.0,Cochlodinium polykrikoides
2022-09-14,24.5,30.85,0.0,Cochlodinium polykrikoides
2022-09-15,24.0,31.25,0.0,Cochlodinium polykrikoides
2022-09-20,24.9,31.35,900.0,Cochlodinium polykrikoides
2022-09-21,24.5,32.15,1.0,Cochlodinium polykrikoides
2022-09-22,24.6,32.35,1.0,Cochlodinium polykrikoides
2022-09-23,23.8,32.4,1.0,Cochlodinium polykrikoides
2022-09-24,23.8,32.4,1.0,Cochlodinium polykrikoides
2022-09-25,23.3,31.299999999999997,1.0,Cochlodinium polykrikoides
2022-09-28,23.6,31.8,0.0,Cochlodinium polykrikoides
